,Unnamed: 0,id,keyword,location,target,text,Unnamed: 0.1
11,11,17,,,1,Jaja south of Tampa is flooded wait a second hah- I live in South Tampa What I will do what I'm gonna do fvck #flooding,
159,159,229,airplane%20accident,,1,France experts begin examining the remains of the plane found in Reunion Island: French air accident experts Wedn ... http://t.co/v4SMAESLK5,
163,163,237,airplane%20accident,92,1,"#OMG! I do not believe this. bro #RIP
#AirPlane #Accident #JetEngine #TurboJet #Boing # G90 http://t.co/KXxnSZp6nk",
366,366,524,army,Campinas Sp,0,"You Da One

#MTVSummerStar #VideoVeranoMTV #MTVHottest Britney Spears Wool King",
658,658,952,blaze,,0,What Dems. Blaze police arrested ago.Chicago months covered thousands of black Americans in interrogation facilities http://t.co/UWItVBsbnC,
707,707,1021,blazing,New York,0,Morgan Silver Dollar 1921 P CH PL Burning Gem Bu MS ++++++ satin Rare As proof! - complete re u_ http://t.co/99MbyFl3Id http://t.co/4ddMTguZzS,
745,745,1077,bleeding,,0,A delirium wedding? Am I seeing this my eyes are bleeding,
1050,1050,1519,body%20bags,,0,Your body heals bags under the eyes will disappear Ûªll you're so happy that Ûªll smile and really ... 'http://t.co/WuKcAlNQms,
1265,1265,1823,burned,germany,0,you should probably stay away from hot glue guns .. I burned a fairly bad finger,
1334,1334,1927,burning%20buildings,we?it Û¢ ixwin,1,@Louis_Tomlinson amazing? Children screamed buildings were on fire and I danced in the ashes,
1516,1516,2190,catastrophic,,1,The catastrophic effects of Hiroshima and Nagasaki Atomic bombings still being felt today http://t.co/QVlxpyyyCd,
1713,1713,2470,collided,From a torn up town MANCHESTER,1,Two collided on the occasion of the burning cars shotgun in Denton http://t.co/0r03C6njLI,
1898,1898,2729,crushed,"Ontario, Canada. ",0,Jesus Christ the ball was getting crushed !! #BlueJays,
1985,1985,2856,damage,"Texas, USA",0,I liked a @YouTube video http://t.co/tBX8cAKdrw GTA 5 Online - collateral damage! (PC GTA V Online),
2113,2113,3037,death,To The Right of You!,1,Ted Cruz Bashes Obama compared GOP Iranian Yelling 'Death to America' http://t.co/tXETcysm1H | #tcot,
2146,2146,3080,deaths,Edinburgh,0,I had lunch with Stewart & amp; Julian just a couple of hours earlier. Good to finally find out what happened to them. http://t.co/AnP9g6NjFd,
2330,2330,3351,demolished,"Paterson, New Jersey ",1,Three houses demolished in the unrecognized Arab village - International Middle East Media Center http://t.co/ik8m4Yi9T4,
2365,2365,3402,demolition,"ÌøåÀå_T: 40.736324,-73.990062",0,Shame how took'em being a dominant force intriguing to a demolition jobbing C-list https://t.co/1xSSvGIMvb,
2554,2554,3662,destroy,"Jerseyville, IL",1,FLATLINERS dem destroying creativity longevity accounts & amp; TRUTH support with Lucifer in all its flaming destruction https://t.co/WcFpZNsN9u,
2599,2599,3729,destroyed,"North Port, FL",0,@ Ryanoss123 No worries that should be in every batsmen most pitchers was destroyed,
2769,2769,3980,devastation,Atlanta g.a.,0,http://t.co/Gxgm1T3W0J the devastation of elation get back on my feet help those who are willing to help themselves http://t.co/puMxLVLsgM,
2918,2918,4197,drown,Inside your webcam. Stop that.,0,"@kessily @mishacollins therefore, you must send around 2 him then? drown in it? I like the way u think! # # Yes AllTheKidneyBeansAndSorbet4Misha",
2958,2958,4250,drowning,New York,0,The Drowning Girl by Caitlin R. Kiernan Centipede Press Limited Signed and numbered - complete re u_ http://t.co/mwcNVtCXVU http://t.co/ClOLmorpLd,
3249,3249,4670,engulfed,Coventry,0,Do you feel gobbled low self-image? Take the quiz: http://t.co/ykVsttvDWo http://t.co/IFQQpUr99X,
3338,3338,4782,evacuated,"Hackney, London",0,@missleylaha have not had to buy one after the last concert in London because the fire alarm went off and everyone had to be evacuated. LOL,
3425,3425,4898,explode,they/them,0,"marked by @attackonstiles

millions
one-punk
Hang them high
alpha dog
Yes, boy and doll face
white lies
exploit http://t.co/lAtsSUo4wS",
3525,3525,5039,eyewitness,"Bakersfield, California",1,Alarm clock Kern County news witness the morning airing now in KBAK CBS29. http://t.co/rorKtMpqNs #liveonKBAK http://t.co/eDznX6GOud,
3528,3528,5043,eyewitness,,0,DK Eyewitness Travel Guide: Denmark: Travel Guide eBay auctions you should keep an eye on: http://t.co/qPUr3Vd7Hl,
3694,3694,5256,fatality,"Brentwood, NY",0,I added a video to a @YouTube playlist http://t.co/O7QOgmOegU S @ X 109 - SWS | Lethality (Captain Falcon) vs. Snow (Fox) losers SSB4,
4062,4062,5772,forest%20fires,,1,CONSEQUENCES CLIMATE: US Forest Service Says spending more than half of the budget on fire http://t.co/k0QtL8aODH http://t.co/zQBXe7x9Y7,
4267,4267,6061,heat%20wave,Malaysia/Jordan,1,It's a little cold tonight. Wave is finally on the heat ?? ???? 3The 7amdollela kulli 7aal,
4318,4318,6132,hellfire,,1,The Prophet (peace be upon him) said: 'Save yourself from Hellfire even if it comes to half a day in charity.',
4328,4328,6147,hijack,,1,I just posted on my blog: Kidnapping criminal trucks and buses arrested in Enugu (PHOTO) http://t.co/5ytIeX55lh,
4658,4658,6624,inundated,"San Jose, CA, USA",1,This is going to become a great wonder of a month. (And then Pornhub be flooded ....) http://t.co/gghfx8PzMh,
4807,4807,6843,loud%20bang,English Midlands,1,"St steel coffee pot exploded this morning with hot coffee clanging & amp; reasons fired on the table clean crockery phone
Tablet. How?",
4854,4854,6913,mass%20murderer,,1,I know people who tirelessly cares about black against white black crime but what you do with your problem mass murderer?,
4979,4979,7104,military,canada,1,Senator 'alarmed' by reports of US military families harassed: says a US senator on Wednesday he was alarmed by u_ http://t.co/sbILA2Yqjq,
5144,5144,7335,nuclear%20reactor,World,1,Finnish ministers: Fennovoima nuclear reactor will continue http://t.co/vB3VFm76ke #worldnews #news #breakingnews,
5591,5591,7978,razed,,1,Latest: More houses ravaged northern California Wildfire - http://t.co/5FcJVMl520 http://t.co/fvYRWhux8p,
5782,5782,8251,rioting,,0,if that had been a black guy Antioch would be riots,
5918,5918,8450,screamed,"San Diego, CA",1,"OMFG ??
Drag Me Down did not expect to be the first song played Pandora

OMFG I screamed so loud
My co-worker is afraid http://t.co/VzcvAdkcQp",
6154,6154,8780,siren,,1,The real question is why tornado siren sounding in Dyersburg?,
6403,6403,9151,suicide%20bomber,Saudi Arabia,1,#saudiarabia 13 confirmed dead as suicide bomber attacks mosque in Saudi Arabia - The I ... http://t.co/LwAnE9vupg - http://t.co/CpQguFZB28,
6640,6640,9508,terrorist,Iraq|Afghanistan| RSA |Baghdad,0,Seek help guarantee #MetroFmTalk,
6784,6784,9718,tragedy,,1,Rly tragedy in MP: Some live in horror count: ÛÏWhen saw my train coaches to dive into the water called ... http://t.co/Calk5nv5Vc,
7067,7067,10121,upheaval,"Scotts Valley, CA",0,In Depth: the new world of work and how young companies and economies are facing a major upheaval through http://t.co/0blKwCuPZq @ft,
7509,7509,10741,wreckage,,1,Remains 'In conclusion confirmed' From the MH370: Malaysia PM: Researchers and families of those who were ... http://t.co/cs8mYAunA4,
7523,7523,10759,wreckage,Southern California,1,Malaysia's prime minister says debris is MH370 Meeting: http://t.co/bpTZAMjl2K through @slate,
0,775,3351,demolished,"Paterson, New Jersey ",1,Three Homes Demolished in Unrecognized Arab Village - International Middle East Media Center http://t.co/ik8m4Yi9T4,2330.0
1,2556,8780,siren,,1,The real question is why is the tornado siren going off in Dyersburg?,6154.0
2,1478,229,airplane%20accident,,1,Experts in France begin examining airplane debris found on Reunion Island: French air accident experts on Wedn... http://t.co/v4SMAESLK5,159.0
3,1363,4197,drown,Inside your webcam. Stop that.,0,@kessily @mishacollins So we should send it all 2 him then? Drown him in it? I like the way u think! #AllTheKidneyBeansAndSorbet4Misha #YES,2918.0
4,2612,1021,blazing,New York,0,Morgan Silver Dollar 1921 P CH Gem Bu PL Blazing MS++++++ Satin Rare Proof Like! - Full reÛ_ http://t.co/99MbyFl3Id http://t.co/4ddMTguZzS,707.0
5,2824,4670,engulfed,Coventry,0,Do you feel engulfed with low self-image? Take the quiz: http://t.co/ykVsttvDWo http://t.co/IFQQpUr99X,3249.0
6,2041,2729,crushed,"Ontario, Canada. ",0,Jesus Christ that ball was fucking crushed!! #BlueJays,1898.0
7,241,8251,rioting,,0,if that would of been a black dude Antioch would be rioting,5782.0
8,2061,7335,nuclear%20reactor,World,1,Finnish ministers: Fennovoima nuclear reactor will go ahead http://t.co/vB3VFm76ke #worldnews #news #breakingnews,5144.0
9,2363,5256,fatality,"Brentwood, NY",0,I added a video to a @YouTube playlist http://t.co/O7QOgmOegU S@X 109 - SWS | Fatality (Captain Falcon) Vs. Snow (Fox) SSB4 Losers,3694.0
10,600,524,army,Campinas Sp,0,"You da One 

#MTVSummerStar #VideoVeranoMTV  #MTVHottest Britney Spears Lana Del Rey",366.0
11,2435,237,airplane%20accident,92,1,"#OMG! I don't believe this. #RIP bro
#AirPlane #Accident #JetEngine #TurboJet #Boing #G90 http://t.co/KXxnSZp6nk",163.0
12,2888,3037,death,To The Right of You!,1,Ted Cruz Bashes Obama Comparison GOP To Iranians Shouting 'Death To America' http://t.co/tXETcysm1H | #tcot,2113.0
13,646,6132,hellfire,,1,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',4318.0
14,3890,4250,drowning,New York,0,The Drowning Girl by Caitlin R. Kiernan Centipede Press Signed numbered Limited - Full reÛ_ http://t.co/mwcNVtCXVU http://t.co/ClOLmorpLd,2958.0
15,3556,3729,destroyed,"North Port, FL",0,@ryanoss123 No worries you'd have to be on every hitters most pitchers got destroyed,2599.0
16,3202,2856,damage,"Texas, USA",0,I liked a @YouTube video http://t.co/tBX8cAKdrw GTA 5 Online - COLLATERAL DAMAGE! (GTA V Online PC),1985.0
17,1528,6061,heat%20wave,Malaysia/Jordan,1,It's kinda cool tonight. Is the heat wave finally over?? ???? 7amdollela 3la kulli 7aal,4267.0
18,1267,9718,tragedy,,1,Rly tragedy in MP: Some live to recount horror: ÛÏWhen I saw coaches of my train plunging into water I called ... http://t.co/Calk5nv5Vc,6784.0
19,1899,10121,upheaval,"Scotts Valley, CA",0,In depth: the new world of work and how young people businesses and economies are coping with huge upheaval http://t.co/0blKwCuPZq via @ft,7067.0
20,4658,9508,terrorist,Iraq|Afghanistan| RSA |Baghdad,0,Seek help warra #MetroFmTalk,6640.0
21,3005,2470,collided,From a torn up town MANCHESTER,1,Two cars collided following shotgun fire in Denton http://t.co/0r03C6njLI,1713.0
22,2734,17,,,1,Haha South Tampa is getting flooded hah- WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK #flooding,11.0
23,189,6147,hijack,,1,I've just posted on my Blog about: Criminals Who Hijack Lorries And Buses Arrested In Enugu (PHOTO) http://t.co/5ytIeX55lh,4328.0
24,1806,7978,razed,,1,The Latest: More homes razed by Northern California wildfire - http://t.co/5FcJVMl520 http://t.co/fvYRWhux8p,5591.0
25,975,3080,deaths,Edinburgh,0,Had lunch with Stewart &amp; Julian only a couple of hours earlier. Good to finally find out what happened to them. http://t.co/AnP9g6NjFd,2146.0
26,2747,4782,evacuated,"Hackney, London",0,@missleylaha I didn't get to buy one after the last London show because the fire alarm went off and everyone had to be evacuated. hahahaha,3338.0
27,2047,5039,eyewitness,"Bakersfield, California",1,Wake Up Kern County Eyewitness News Mornings airing RIGHT NOW on KBAK CBS29. http://t.co/rorKtMpqNs #liveonKBAK http://t.co/eDznX6GOud,3525.0
28,2558,10741,wreckage,,1,Wreckage 'Conclusively Confirmed' as From MH370: Malaysia PM: Investigators and the families of those who were... http://t.co/cs8mYAunA4,7509.0
29,1082,4898,explode,they/them,0,"tagged by @attackonstiles 

millions
a-punk
hang em high
alpha dog
yeah boy and doll face
little white lies
explode http://t.co/lAtsSUo4wS",3425.0
30,474,1077,bleeding,,0,A rave wedding ? Am I seeing this  my eyes are bleeding,745.0
31,2904,3402,demolition,"ÌøåÀå_T: 40.736324,-73.990062",0,Shame how they took'em from being an intriguing dominant force to a jobbing C-list demolition  https://t.co/1xSSvGIMvb,2365.0
33,4117,6913,mass%20murderer,,1,White people I know you worry tirelessly about black on black crime but what are you going to do about your mass murderer problem?,4854.0
34,3385,3980,devastation,Atlanta g.a.,0,http://t.co/Gxgm1T3W0J From Devastation to Elation Getting Back on My Feet Helping Those Willing To Help Themselves http://t.co/puMxLVLsgM,2769.0
35,4555,10759,wreckage,Southern California,1,Malaysian prime minister says Reunion Island wreckage is from MH370: http://t.co/bpTZAMjl2K via @slate,7523.0
36,1184,3662,destroy,"Jerseyville, IL",1,Dem FLATLINERS who destroy creativity-balance-longevity &amp; TRUTH stand with Lucifer in all his flames of destruction https://t.co/WcFpZNsN9u,2554.0
37,5051,6624,inundated,"San Jose, CA, USA",1,This is set to become a huge one month wonder. (And then Pornhub will be inundated....) http://t.co/gghfx8PzMh,4658.0
38,2433,8450,screamed,"San Diego, CA",1,"OMFG??
Didnt expect Drag Me Down to be the first song Pandora played 

OMFG I SCREAMED SO LOUD
My coworker is scared http://t.co/VzcvAdkcQp",5918.0
39,2391,7104,military,canada,1,Senator 'alarmed' by reports U.S. military families harassed: A U.S. Senator said on Wednesday he was alarmed byÛ_ http://t.co/sbILA2Yqjq,4979.0
40,769,952,blaze,,0,What Dems do. Blaze covered months ago.Chicago police detained thousands of black Americans at interrogation facility http://t.co/UWItVBsbnC,658.0
43,2919,9151,suicide%20bomber,Saudi Arabia,1,#saudiarabia 13 confirmed dead as suicide bomber attacks Saudi Arabian mosque - The I... http://t.co/LwAnE9vupg - http://t.co/CpQguFZB28,6403.0
44,3171,1823,burned,germany,0,I should probably stay away from hot glue guns.. I burned one finger pretty bad,1265.0
45,3444,5772,forest%20fires,,1,CLIMATE CONSEQUENCES: U.S. Forest Service Says Spending More Than Half Of Budget On Fires http://t.co/k0QtL8aODH http://t.co/zQBXe7x9Y7,4062.0
46,4426,2190,catastrophic,,1,The Catastrophic Effects of Hiroshima and Nagasaki Atomic Bombings Still Being Felt Today http://t.co/QVlxpyyyCd,1516.0
47,466,1927,burning%20buildings,we?it Û¢ ixwin,1,@Louis_Tomlinson incredible? THE CHILDREN WERE SCREAMING BUILDINGS WERE BURNING AND I WAS DANCING IN THE ASHES,1334.0
48,3092,1519,body%20bags,,0,'Your body will heal the bags under your eyes will go away youÛªll be so happy youÛªll smile and really...' http://t.co/WuKcAlNQms,1050.0
49,3772,6843,loud%20bang,English Midlands,1,"St steel coffee cafetiere exploded this am with loud bang hot coffee &amp; grounds shot over table clean crockery phone
tablet. How?",4807.0
50,860,5043,eyewitness,,0,DK Eyewitness Travel Guide: Denmark: travel guide eBay auctions you should keep an eye on: http://t.co/qPUr3Vd7Hl,3528.0
